Time,Temp1,Temp2,TempSurface,TempCenter,TempCalibration,AmbientTemp,AmbientHumidity,Timestamp
0,749.9,749.9,225.4,187.0,749.1,0.0,0.0,2026-06-30 23:04:00
0,749.6,750.3,235.2,191.2,749.1,0.0,0.0,2026-06-30 23:04:00
1,749.8,749.8,244.5,195.3,749.0,0.0,0.0,2026-06-30 23:04:01
2,749.6,749.6,254.3,200.2,749.4,0.0,0.0,2026-06-30 23:04:02
2,749.9,749.7,263.4,204.7,750.2,0.0,0.0,2026-06-30 23:04:03
3,750.3,750.2,272.3,208.7,751.2,0.0,0.0,2026-06-30 23:04:04
4,749.6,750.0,281.1,213.2,749.7,0.0,0.0,2026-06-30 23:04:04
5,749.7,749.7,289.8,217.8,749.1,0.0,0.0,2026-06-30 23:04:05
6,750.0,750.1,298.3,221.5,750.2,0.0,0.0,2026-06-30 23:04:06
6,750.0,749.6,306.3,225.8,749.7,0.0,0.0,2026-06-30 23:04:07
7,750.1,749.6,314.9,229.7,750.1,0.0,0.0,2026-06-30 23:04:08
8,750.0,749.8,323.1,234.0,750.1,0.0,0.0,2026-06-30 23:04:08
9,750.4,749.6,331.0,238.0,749.6,0.0,0.0,2026-06-30 23:04:09
10,749.9,749.5,338.5,242.4,750.9,0.0,0.0,2026-06-30 23:04:10
10,750.2,750.4,346.0,246.5,750.7,0.0,0.0,2026-06-30 23:04:11
11,749.8,750.4,353.7,250.7,748.9,0.0,0.0,2026-06-30 23:04:12
12,750.5,750.3,360.6,254.1,750.0,0.0,0.0,2026-06-30 23:04:12
13,750.2,749.7,367.1,258.2,750.0,0.0,0.0,2026-06-30 23:04:13
14,750.4,750.2,373.7,262.2,750.9,0.0,0.0,2026-06-30 23:04:14
14,749.7,750.2,380.8,265.7,749.9,0.0,0.0,2026-06-30 23:04:15
15,749.8,750.5,387.7,269.2,749.2,0.0,0.0,2026-06-30 23:04:16
16,749.7,750.5,394.4,273.0,749.2,0.0,0.0,2026-06-30 23:04:16
17,750.4,749.8,401.2,276.1,750.5,0.0,0.0,2026-06-30 23:04:17
18,749.7,749.9,407.6,279.3,749.9,0.0,0.0,2026-06-30 23:04:18
18,749.6,749.6,413.2,282.7,749.9,0.0,0.0,2026-06-30 23:04:19
19,750.3,750.4,419.0,285.9,750.1,0.0,0.0,2026-06-30 23:04:20
20,750.0,750.5,424.5,289.2,749.8,0.0,0.0,2026-06-30 23:04:20
21,749.9,750.1,429.8,292.8,750.1,0.0,0.0,2026-06-30 23:04:21
22,749.8,750.5,435.5,296.4,750.6,0.0,0.0,2026-06-30 23:04:22
22,750.4,750.3,440.8,300.2,750.0,0.0,0.0,2026-06-30 23:04:23
23,749.7,749.6,446.3,303.4,748.9,0.0,0.0,2026-06-30 23:04:24
24,750.2,749.6,452.0,306.8,749.4,0.0,0.0,2026-06-30 23:04:24
25,749.9,749.8,457.4,310.5,749.1,0.0,0.0,2026-06-30 23:04:25
26,749.8,750.4,462.1,314.2,749.8,0.0,0.0,2026-06-30 23:04:26
26,750.3,749.9,466.8,317.7,750.0,0.0,0.0,2026-06-30 23:04:27
27,749.7,750.0,471.9,320.7,750.5,0.0,0.0,2026-06-30 23:04:28
28,749.7,749.6,476.4,323.6,749.9,0.0,0.0,2026-06-30 23:04:28
29,749.5,750.3,480.8,327.1,748.8,0.0,0.0,2026-06-30 23:04:29
30,750.2,750.4,485.4,330.1,750.5,0.0,0.0,2026-06-30 23:04:30
30,749.6,749.6,490.3,332.9,749.6,0.0,0.0,2026-06-30 23:04:31
31,749.7,750.4,494.7,336.1,749.8,0.0,0.0,2026-06-30 23:04:32
32,750.1,750.1,499.5,338.7,750.8,0.0,0.0,2026-06-30 23:04:32
